country,link,ESG-term,country_mapped,latitude,longitude
united-kingdom,http://climatecasechart.com/non-us-case/r-v-bramwell-et-al-the-shell-six-case/,Management_Of_Legal_And_Regulatory_Framework,United Kingdom,54.7023545,-3.2765753
germany,http://climatecasechart.com/non-us-case/barbara-metz-et-al-v-wintershall-dea-ag/,GHG_Emissions,Germany,51.1638175,10.4478313
france,http://climatecasechart.com/non-us-case/amis-de-la-terre-and-sherpa-v-perenco/,Ecological_Impacts,France,46.603354,1.8883335
united-kingdom,http://climatecasechart.com/non-us-case/the-kingsnorth-six-trial/,Physical_Impacts_Of_Climate_Change,United Kingdom,54.7023545,-3.2765753
spain,http://climatecasechart.com/non-us-case/lauwrys-ao-v-the-province-of-antwerp/,GHG_Emissions,Spain,39.3260685,-4.8379791
italy,http://climatecasechart.com/non-us-case/alcantara-spa-v-miko-srl/,Product_Design_And_Lifecycle_Management,Italy,42.6384261,12.674297
brazil,http://climatecasechart.com/non-us-case/public-prosecutors-office-v-h-carlos-schneider-sa-comercio-e-industria-others/,Physical_Impacts_Of_Climate_Change,Brazil,-10.3333333,-53.2
australia,http://climatecasechart.com/non-us-case/specific-instance-to-the-uk-ncp-under-the-oecd-guidelines-for-multinational-enterprises-filed-by-global-witness-against-uk-export-finance/,Management_Of_Legal_And_Regulatory_Framework,Australia,-24.7761086,134.755
japan,http://climatecasechart.com/non-us-case/market-forces-v-smbc-mufg-and-mizuho/,GHG_Emissions,Japan,36.5748441,139.2394179
indonesia,http://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-rambang-agro-jaya/,Physical_Impacts_Of_Climate_Change,Indonesia,-2.4833826,117.8902853
brazil,http://climatecasechart.com/non-us-case/instituto-verdeluz-and-others-v-portocem-geracao-de-energia-sa-and-semace/,Human_Rights_And_Community_Relations,Brazil,-10.3333333,-53.2
indonesia,http://climatecasechart.com/non-us-case/yayasan-wahana-lingkungan-hidup-indonesia-v-governor-of-bali-and-others/,Ecological_Impacts,Indonesia,-2.4833826,117.8902853
united-kingdom,http://climatecasechart.com/non-us-case/asa-ruling-on-ryanair-ltd-t-a-ryanair-ltd/,GHG_Emissions,United Kingdom,54.7023545,-3.2765753
united-kingdom,http://climatecasechart.com/non-us-case/r-v-brown-extinction-rebellion-protest-london-city-airport/,Human_Rights_And_Community_Relations,United Kingdom,54.7023545,-3.2765753
netherlands,http://climatecasechart.com/non-us-case/banktrack-et-al-vs-ing-bank/,GHG_Emissions,Netherlands,52.2434979,5.6343227
united-kingdom,http://climatecasechart.com/non-us-case/trial-of-angela-ditchfield/,Physical_Impacts_Of_Climate_Change,United Kingdom,54.7023545,-3.2765753
australia,http://climatecasechart.com/non-us-case/abrahams-v-commonwealth-bank-of-australia-2021/,Management_Of_Legal_And_Regulatory_Framework,Australia,-24.7761086,134.755
germany,http://climatecasechart.com/non-us-case/regional-court-of-dusseldorfs-decision-on-climate-neutral-claims-regarding-candles/,GHG_Emissions,Germany,51.1638175,10.4478313
indonesia,http://climatecasechart.com/non-us-case/baihua-caiga-et-al-v-petrooriental-sa/,GHG_Emissions,Indonesia,-2.4833826,117.8902853
nigeria,http://climatecasechart.com/non-us-case/in-re-greenpeace-southeast-asia-et-al/,Human_Rights_And_Community_Relations,Nigeria,9.6000359,7.9999721
germany,http://climatecasechart.com/non-us-case/regional-court-of-kleves-decision-on-companys-climate-neutral-claims-regarding-sweets/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
brazil,http://climatecasechart.com/non-us-case/federal-public-prosecutors-office-mpf-vs-inea-and-karpowership-brasil-energia-ltda/,GHG_Emissions,Brazil,-10.3333333,-53.2
argentina,http://climatecasechart.com/non-us-case/carballo-et-al-v-msu-sa-ugen-sa-general-electric/,Physical_Impacts_Of_Climate_Change,Argentina,-34.9964963,-64.9672817
germany,http://climatecasechart.com/non-us-case/germanwatch-vs-volkswagen/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
belgium,http://climatecasechart.com/non-us-case/clientearth-v-flemish-region/,Air_Quality,Belgium,50.6402809,4.6667145
canada,http://climatecasechart.com/non-us-case/in-the-matter-of-agl-limited/,Physical_Impacts_Of_Climate_Change,Canada,61.0666922,-107.991707
germany,http://climatecasechart.com/non-us-case/deutsche-umwelthilfe-duh-v-mercedes-benz-ag/,GHG_Emissions,Germany,51.1638175,10.4478313
australia,http://climatecasechart.com/non-us-case/abrahams-v-commonwealth-bank-australia/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
brazil,http://climatecasechart.com/non-us-case/instituto-preservar-et-al-v-copelmi-mineracao-ltda-and-ibama/,Physical_Impacts_Of_Climate_Change,Brazil,-10.3333333,-53.2
australia,http://climatecasechart.com/non-us-case/pcwp-and-others-v-glencore/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
france,http://climatecasechart.com/non-us-case/comissa%cc%83o-pastoral-da-terra-and-notre-affaire-a-tous-v-bnp-paribas/,Human_Rights_And_Community_Relations,France,46.603354,1.8883335
argentina,http://climatecasechart.com/non-us-case/hahn-et-al-v-apr-energy-srl/,Physical_Impacts_Of_Climate_Change,Argentina,-34.9964963,-64.9672817
australia,http://climatecasechart.com/non-us-case/conservation-council-of-western-australia-v-hatton-and-woodside/,GHG_Emissions,Australia,-24.7761086,134.755
australia,http://climatecasechart.com/non-us-case/accc-toyota-environmental-claim/,Air_Quality,Australia,-24.7761086,134.755
netherlands,http://climatecasechart.com/non-us-case/rcc-ruling-on-shell-drive-co2-neutral-2/,GHG_Emissions,Netherlands,52.2434979,5.6343227
france,http://climatecasechart.com/non-us-case/friends-of-the-earth-et-al-v-prefect-of-of-bouches-du-rhone-and-total/,Physical_Impacts_Of_Climate_Change,France,46.603354,1.8883335
brazil,http://climatecasechart.com/non-us-case/ministerio-publico-federal-v-de-rezende/,Ecological_Impacts,Brazil,-10.3333333,-53.2
colombia,http://climatecasechart.com/non-us-case/wayuu-indigenous-community-and-others-v-ministry-of-environment-and-others/,Physical_Impacts_Of_Climate_Change,Colombia,4.099917,-72.9088133
